id,startdate,datestamp,duration,startlanguage,lastpage,PD1,PD2,PD3[SQ001],PD3[SQ002],PD3[SQ003],VD000a,VD000,VD001,VD002,VD100a,VD100,VD101,VD102,VD200a,VD200,VD201,VD202,SP4[SQ004],SP4[SQ005],SP4[SQ007],WB1,WB2[SQ001],WB2[SQ002],WB3[SQ001],WB3[SQ002],WB4[SQ001],WB4[SQ002],WB4[SQ003],WB4[SQ004]
1,2024-04-15 10:20:29,2024-04-15 10:23:31,180,EN,20,A1,22,Y,Y,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,,,,,,,,,,,,
2,2024-04-15 10:32:35,2024-04-15 10:33:49,73,EN,20,A4,21,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,,,,,,,,,,,,
3,2024-04-15 10:36:02,2024-04-15 10:37:00,57,EN,20,A1,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,,,,,,,,,,,,
4,2024-04-15 10:39:48,2024-04-15 10:42:29,158,EN,20,A1,22,Y,,,Y,A1,,,N,A1,,,Y,A2,A1,A2,2,4,5,1,4,3,4,3,4,5,4,5
5,2024-04-15 10:48:32,2024-04-15 10:49:40,66,EN,20,A1,22,Y,,,Y,A2,A1,A2,Y,A2,A1,,Y,A1,A1,A2,5,4,5,7,5,4,5,4,4,4,5,4
6,2024-04-15 11:59:20,2024-04-15 12:03:04,222,EN,20,A1,22,Y,,,Y,A2,,A2,Y,A2,,A2,N,A2,,A2,4,5,2,7,1,5,1,1,5,5,4,5
7,2024-04-15 12:21:41,2024-04-15 12:23:07,84,EN,20,A1,22,Y,,,N,A1,,,N,A2,,A2,N,A2,,A2,,,,,,,,,,,,
8,2024-04-15 12:32:00,2024-04-15 12:34:28,146,EN,20,A2,20,Y,,,Y,A2,A1,A2,Y,A1,A1,A2,Y,A2,A1,,3,2,4,3,1,5,1,1,5,3,4,4
9,2024-04-15 12:47:53,2024-04-15 12:51:29,215,EN,20,A2,22,Y,,,Y,A1,,,Y,A1,A1,,Y,A1,A1,,4,5,4,4,4,5,2,2,2,4,4,4
10,2024-04-15 12:54:37,2024-04-15 12:57:32,174,EN,20,A2,26,Y,,,Y,A1,A1,A2,Y,A1,A1,,Y,A1,A1,,4,5,3,4,1,5,2,2,4,4,4,4
11,2024-04-15 12:52:25,2024-04-15 12:58:31,365,EN,20,A2,20,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,4,5,2,5,,5,1,1,3,2,4,4
12,2024-04-15 12:58:02,2024-04-15 13:03:58,355,EN,20,A1,20,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,3,3,5,5,1,5,4,1,2,4,5,5
13,2024-04-15 13:01:58,2024-04-15 13:04:10,132,EN,20,A1,19,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,3,3,2,5,2,3,3,1,3,4,4,4
14,2024-04-15 13:01:31,2024-04-15 13:05:03,212,EN,20,A2,20,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,5,4,4,3,5,2,2,4,2,4,3
