id,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,knowledge
1,1.0,0.0,0.65,0.35,0.0,0.303,0.697,0.0,0.616,0.384,0.007261943019014767,821.6248490057,533.0317909087,4.25
2,1.0,0.0,0.54,0.46,0.0,0.435,0.565,0.0,0.738,0.262,0.008089789726646451,915.1145010737,289.78838736269995,3.5
3,1.0,0.0,0.652,0.348,0.0,0.301,0.699,0.0,0.622,0.378,0.007817829100291968,885.0744869117,548.3414312977,3.5
4,1.0,0.0,0.612,0.388,0.0,0.366,0.634,0.0,0.683,0.317,0.00830296516981096,939.0806913692,484.45595937919995,4.5
5,1.0,0.0,0.54,0.46,0.0,0.435,0.565,0.0,0.738,0.262,0.008089789726646451,915.1145010737,289.78838736269995,2.5
6,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,5.0
7,1.0,0.0,0.612,0.388,0.0,0.366,0.634,0.0,0.683,0.317,0.00830296516981096,939.0806913692,484.45595937919995,4.25
8,1.0,0.0,0.612,0.388,0.0,0.366,0.634,0.0,0.683,0.317,0.00830296516981096,939.0806913692,484.45595937919995,1.0
9,1.0,0.0,0.652,0.348,0.0,0.301,0.699,0.0,0.622,0.378,0.007817829100291968,885.0744869117,548.3414312977,1.0
10,1.0,0.0,0.652,0.348,0.0,0.301,0.699,0.0,0.622,0.378,0.007817829100291968,885.0744869117,548.3414312977,
