,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,preferenceNatural,aversionSevering,knowledge
1,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,0.0,0.0,0.0
2,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,0.0,0.0,0.0
3,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,0.0,0.0,0.0
4,1.0,0.0,0.539,0.461,0.0,0.437,0.563,0.0,0.559,0.441,0.007122514407117643,805.8793746042,469.14631899020003,2.0,4.5,4.5
5,1.0,0.0,0.673,0.327,0.0,0.265,0.735,0.0,0.603,0.397,0.01100174493542809,1246.2095668337001,791.5848348437,5.0,4.5,4.25
6,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.799,0.201,0.008574925796165445,969.1207055312,225.9029154442,4.0,3.5,4.75
7,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.738,0.262,0.007529760342772384,851.2290291552,225.9029154442,0.0,0.0,0.0
8,1.0,0.0,0.676,0.324,0.0,0.259,0.741,0.0,0.596,0.404,0.010581144163451147,1198.0695693167,791.5848348437,3.0,3.0,4.0
9,1.0,0.0,0.722,0.278,0.0,0.233,0.767,0.0,0.5,0.5,0.006429953008786215,727.6993629251999,727.6993629251999,4.0,4.5,3.5
10,1.0,0.0,0.744,0.256,0.0,0.195,0.805,0.0,0.544,0.456,0.008035147846053343,909.4765112197,791.5848348437,4.0,4.0,4.0
11,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,4.0,3.5,3.25
12,1.0,0.0,0.762,0.238,0.0,0.168,0.832,0.0,0.5,0.5,0.006989982392660282,791.5848348437,791.5848348437,3.0,4.0,4.0
