edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,42,9,5,57,65
1,0,0,0,0,0
2,0,0,0,0,0
3,31,9,18,55,19
4,0,0,0,0,0
5,3,1,7,9,18
6,0,0,0,0,0
7,0,0,0,0,30
8,0,0,0,0,0
9,0,0,0,0,30
10,0,0,0,0,0
11,0,0,0,0,0
12,71,16,28,113,122
13,71,16,28,113,122
14,68,15,21,104,104
15,37,6,3,49,85
16,0,0,0,0,0
17,3,1,7,9,18
18,0,0,0,0,0
19,0,0,0,0,0
20,31,9,18,55,19
21,3,1,7,9,13
22,71,19,28,130,54
23,152,40,44,236,231
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,5
27,35,8,14,56,43
28,0,0,0,0,5
29,149,39,37,227,218
30,68,18,21,121,41
31,81,21,16,106,177
32,0,0,0,0,5
33,3,1,7,9,23
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,30
38,0,0,0,0,30
39,0,0,0,0,30
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
