id,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,knowledge
1,1,0,0.65,0.35,0,0.303,0.697,0,0.616,0.384,0.007261943,821.624849,533.0317909,4.25
2,1,0,0.54,0.46,0,0.435,0.565,0,0.738,0.262,0.00808979,915.1145011,289.7883874,3.5
3,1,0,0.652,0.348,0,0.301,0.699,0,0.622,0.378,0.007817829,885.0744869,548.3414313,3.5
4,1,0,0.612,0.388,0,0.366,0.634,0,0.683,0.317,0.008302965,939.0806914,484.4559594,4.5
5,1,0,0.54,0.46,0,0.435,0.565,0,0.738,0.262,0.00808979,915.1145011,289.7883874,2.5
6,1,0,0.762,0.238,0,0.168,0.832,0,0.5,0.5,0.006989982,791.5848348,791.5848348,5
7,1,0,0.612,0.388,0,0.366,0.634,0,0.683,0.317,0.008302965,939.0806914,484.4559594,4.25
8,1,0,0.612,0.388,0,0.366,0.634,0,0.683,0.317,0.008302965,939.0806914,484.4559594,1
9,1,0,0.652,0.348,0,0.301,0.699,0,0.622,0.378,0.007817829,885.0744869,548.3414313,1
10,1,0,0.652,0.348,0,0.301,0.699,0,0.622,0.378,0.007817829,885.0744869,548.3414313,0
